INFO  - 2015-04-03 22:24:36.064; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-04-03 22:24:36.099; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/server/contexts at interval 0
INFO  - 2015-04-03 22:24:36.108; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/server/contexts/solr-jetty-context.xml
INFO  - 2015-04-03 22:24:37.352; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-04-03 22:24:37.425; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()WebAppClassLoader=1837927486@6d8c8c3e
INFO  - 2015-04-03 22:24:37.453; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-04-03 22:24:37.453; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr
INFO  - 2015-04-03 22:24:37.453; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr/'
INFO  - 2015-04-03 22:24:37.698; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr/solr.xml
INFO  - 2015-04-03 22:24:37.772; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr
INFO  - 2015-04-03 22:24:37.787; org.apache.solr.core.CoreContainer; New CoreContainer 104936728
INFO  - 2015-04-03 22:24:37.787; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr/]
INFO  - 2015-04-03 22:24:37.805; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 600000
INFO  - 2015-04-03 22:24:37.806; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-04-03 22:24:37.810; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 60000
INFO  - 2015-04-03 22:24:37.810; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-04-03 22:24:37.813; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnections to: 10000
INFO  - 2015-04-03 22:24:37.813; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-04-03 22:24:37.813; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-04-03 22:24:37.813; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-04-03 22:24:37.813; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-04-03 22:24:37.814; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-04-03 22:24:37.814; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2015-04-03 22:24:37.960; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=600000&connTimeout=60000&retry=true
INFO  - 2015-04-03 22:24:37.963; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-04-03 22:24:37.964; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-04-03 22:24:37.966; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-04-03 22:24:37.966; org.apache.solr.core.ZkContainer; Zookeeper client=localhost:9983
INFO  - 2015-04-03 22:24:38.015; org.apache.solr.common.cloud.ConnectionManager; Waiting for client to connect to ZooKeeper
INFO  - 2015-04-03 22:24:38.049; org.apache.solr.common.cloud.ConnectionManager; Watcher org.apache.solr.common.cloud.ConnectionManager@f495acc name:ZooKeeperConnection Watcher:localhost:9983 got event WatchedEvent state:SyncConnected type:None path:null path:null type:None
INFO  - 2015-04-03 22:24:38.049; org.apache.solr.common.cloud.ConnectionManager; Client is connected to ZooKeeper
INFO  - 2015-04-03 22:24:38.089; org.apache.solr.common.cloud.ZkStateReader; Updating cluster state from ZooKeeper... 
INFO  - 2015-04-03 22:24:39.117; org.apache.solr.cloud.ZkController; Register node as live in ZooKeeper:/live_nodes/145.107.10.14:7574_solr
INFO  - 2015-04-03 22:24:39.128; org.apache.solr.common.cloud.SolrZkClient; makePath: /live_nodes/145.107.10.14:7574_solr
INFO  - 2015-04-03 22:24:39.142; org.apache.solr.cloud.Overseer; Overseer (id=null) closing
INFO  - 2015-04-03 22:24:39.196; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr
INFO  - 2015-04-03 22:24:39.197; org.apache.solr.core.CorePropertiesLocator; Found 0 core definitions
INFO  - 2015-04-03 22:24:39.201; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/server
INFO  - 2015-04-03 22:24:39.202; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
